Year,All,Fresh,Canning,Freezing,Juice,Dried,Other processed,Fresh_prop,Canning_prop,Freezing_prop,Juice_prop,Dried_prop,Other processed_prop
2009,47.3,16.2,4.18,0.8,24.9,0.6,0.6,0.34249471458773784,0.08837209302325581,0.016913319238900635,0.5264270613107822,0.012684989429175475,0.012684989429175475
2010,47.6,15.3,3.98,0.6,26.4,0.7,0.7,0.32142857142857145,0.08361344537815125,0.012605042016806721,0.5546218487394957,0.014705882352941175,0.014705882352941175
2011,42.6,15.5,4.17,0.7,20.6,0.6,1.0,0.36384976525821594,0.09788732394366197,0.016431924882629106,0.48356807511737093,0.01408450704225352,0.023474178403755867
2012,43.5,16.0,3.16,0.3,22.5,0.9,0.6,0.367816091954023,0.07264367816091954,0.006896551724137931,0.5172413793103449,0.020689655172413793,0.013793103448275862
2013,45.8,17.4,4.82,0.8,21.3,0.6,0.8,0.3799126637554585,0.1052401746724891,0.017467248908296946,0.46506550218340614,0.013100436681222708,0.017467248908296946
2014,45.8,18.7,4.33,0.8,20.6,0.7,0.8,0.40829694323144106,0.09454148471615721,0.017467248908296946,0.44978165938864634,0.015283842794759825,0.017467248908296946
2015,46.5,17.5,4.3,0.7,22.6,0.7,0.8,0.3763440860215054,0.09247311827956989,0.015053763440860214,0.48602150537634414,0.015053763440860214,0.017204301075268817
2016,48.8,19.2,4.56,0.4,22.7,1.2,0.8,0.39344262295081966,0.09344262295081968,0.00819672131147541,0.4651639344262295,0.02459016393442623,0.01639344262295082
2017,47.5,18.1,4.45,0.4,22.2,1.3,1.1,0.3810526315789474,0.09368421052631579,0.008421052631578947,0.46736842105263154,0.02736842105263158,0.023157894736842106
2018,45.1,16.9,4.03,0.5,22.0,0.9,0.8,0.37472283813747226,0.0893569844789357,0.011086474501108647,0.4878048780487805,0.019955654101995565,0.017738359201773836
