Year,Oranges_all,Grapes_all,Apples_all,Bananas_fresh,Melons,Oranges_prop,Grapes_prop,Apples_prop,Bananas_prop,Melons_prop
1992,76.0,45.4,46.5,27.1,25.6,0.2570172472100101,0.1535339871491376,0.15725397362191407,0.09164693946567466,0.08657423063916131
1993,88.2,44.4,48.3,26.6,24.9,0.287109375,0.14453125,0.1572265625,0.08658854166666667,0.0810546875
1994,84.8,40.9,49.1,27.8,25.6,0.2770336491342698,0.13361646520744852,0.16040509637373407,0.09081999346618752,0.0836327997386475
1995,81.3,45.7,45.2,27.1,26.4,0.27255355526501057,0.1532066110161253,0.1515303898890342,0.09085118508833687,0.08850447551040934
1996,90.6,43.1,46.4,27.6,29.3,0.291599613775346,0.13871902156420987,0.14934019954940458,0.0888316704216286,0.09430318635339556
1997,88.6,52.0,45.1,27.2,28.8,0.2774819918571876,0.16285624804259316,0.14124647666771062,0.08518634512997181,0.09019730660820545
1998,97.1,44.5,47.3,28.0,28.0,0.30457967377666245,0.13958594730238394,0.14836888331242157,0.08782936010037641,0.08782936010037641
1999,85.4,45.7,47.1,30.7,29.7,0.2717149220489978,0.14540248170537703,0.14985682468978684,0.09767737830098631,0.0944957047406936
2000,91.0,49.7,45.1,28.4,27.8,0.28598365807668136,0.15619107479572597,0.1417347580138278,0.08925204274041483,0.08736643620364551
2001,87.1,44.9,43.4,26.6,28.7,0.28279220779220776,0.1457792207792208,0.1409090909090909,0.08636363636363636,0.09318181818181819
2002,84.3,50.7,43.1,26.8,27.9,0.2747718383311604,0.16525423728813562,0.14048239895697526,0.08735332464146026,0.09093872229465451
2003,83.1,46.6,46.6,26.2,27.1,0.2698928223449171,0.15134784020785969,0.15134784020785969,0.08509256252029879,0.08801558947710295
2004,84.0,47.4,50.4,25.8,25.4,0.2727272727272727,0.1538961038961039,0.16363636363636364,0.08376623376623377,0.08246753246753247
2005,80.6,56.1,45.2,25.2,25.6,0.26391617550753105,0.1836935166994106,0.14800261951538965,0.08251473477406679,0.08382449246889324
2006,73.0,49.4,50.7,25.1,26.9,0.24431057563587688,0.16532797858099066,0.16967871485943778,0.08400267737617137,0.09002677376171353
2007,65.5,51.8,49.8,26.0,26.4,0.22400820793433654,0.1771545827633379,0.17031463748290013,0.08891928864569085,0.09028727770177838
2008,62.6,50.2,47.9,25.0,26.7,0.2180424939045629,0.17485196795541627,0.16684082201323583,0.08707767328456985,0.0929989550679206
2009,63.5,52.7,47.3,22.0,26.1,0.21995150675441633,0.18254243158988567,0.16383789400762033,0.07620367163145132,0.09040526498094907
2010,61.4,51.8,47.6,25.6,26.5,0.2121630960608155,0.17899101589495509,0.16447823082239116,0.08845888044229441,0.09156876295784382
2011,63.1,51.9,42.6,25.5,24.7,0.2192494788047255,0.18033356497567754,0.1480194579569145,0.08860319666435024,0.08582348853370396
2012,54.3,55.6,43.5,26.9,23.5,0.1920764060841882,0.196674920410329,0.15387336399009552,0.09515387336399009,0.08312698974177574
2013,56.0,58.5,45.8,28.0,25.0,0.1903467029231815,0.19884432358939497,0.1556764106050306,0.09517335146159075,0.08497620666213461
2014,53.7,54.5,45.8,27.9,22.8,0.1880252100840336,0.19082633053221287,0.1603641456582633,0.09768907563025209,0.07983193277310924
2015,51.5,52.6,46.5,27.9,24.0,0.17994409503843467,0.18378756114605171,0.16247379454926625,0.09748427672955974,0.08385744234800839
2016,51.4,54.5,48.8,27.4,26.5,0.17602739726027397,0.18664383561643835,0.16712328767123286,0.09383561643835615,0.09075342465753425
2017,47.3,55.0,47.5,28.6,25.6,0.16349809885931557,0.19011406844106463,0.1641894227445558,0.09885931558935361,0.08848945731075009
2018,48.4,47.2,45.1,28.2,25.2,0.17529880478087648,0.17095255342267293,0.16334661354581673,0.1021369069177834,0.09127127852227453
