Crop,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
  Canning 7,1,0.9,0.9,0.8,0.8,0.6,0.7,0.5,0.6,0.7,0.4,0.6,0.5,0.6,0.6,0.4,0.5,0.4,0.6,0.2,0.2,0.4,0.3,0.3,0.3,0.2,0.2,0.2,0.2,0.2,0.1,0.2,0.2,0.2,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0
  Freezing 8,0.5,0.5,0.5,0.4,0.4,0.4,0.4,0.3,0.5,0.5,0.6,0.5,0.5,0.7,0.7,0.7,0.9,1,1,1,0.8,0.9,0.9,0.9,0.9,1,0.8,1,0.8,1.1,1,1,1,1.1,1.2,1,1,1.1,1.4,1.5,1.3,1.4,1.3
  Juice 9,1.4,1.2,1.3,1.2,1.2,1.3,1,0.8,0.9,0.9,0.9,0.8,0.9,1.8,1.7,2,2,1.9,2.2,1.9,2,2.2,2.2,2.5,2.1,1.9,2.2,2.5,2.5,2.5,2.7,2.7,2.9,2.6,2.5,2.7,2.8,3.1,2.9,2.9,3.1,2.7,3
  Dried 10,2.7,2.6,2.3,2.2,1.9,2.3,2.4,2.7,2.8,2.3,2.3,2.8,2.9,3.3,3,2.9,2.7,2.6,3,2.6,2.9,2.7,2.8,2.2,2.6,2.5,2.6,2.7,2.2,2.3,2.1,2.1,2.1,2,2.3,2.3,2.2,2.5,2,2.4,2.3,2.2,2.1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
" Subtotal, all 11",263.6,276.3,268.7,260,278.5,269.6,273.9,286.3,272.1,277,282.8,287,277.2,279,261,267.2,270.1,282.3,280.5,271.89,281.4,290.5,290.8,284.6,290.4,279.3,278.9,280.8,282.6,279.8,271.9,266,260.4,262.6,262.9,263.1,259.2,269.2,262.8,262.2,265.5,263.7,250.9
   Fresh,83.1,80.2,83.5,80.7,88.3,83.9,85.7,90.5,88.3,86.4,93.8,96.8,97.4,96.3,92.2,89.4,98.7,98.5,99.7,97.1,97.5,101.7,101.8,101.2,101.3,97.5,99.5,101.4,102.7,100,101.4,97.1,100.3,98.1,102.5,105.2,108.7,111.8,114,112.5,115.4,116.7,115.1
   Canning ,23.2,24.2,23.9,24.8,24.4,20.8,21.9,20,19.6,20.7,21,20.8,20.6,21.4,20.9,19.6,22.6,20.5,20.6,17.2,18.4,19.9,16.9,19.2,17.5,17.6,16.8,17.3,16.9,16.6,15.5,16,15.6,15.5,14.9,14.2,13.2,15.2,13.7,14.3,13.7,13.4,12
   Freezing,3.3,3.3,3.7,3.1,3.3,3,3.3,3.2,3.4,3.5,4.1,4,4,4.6,4.3,4.1,4.3,4.3,4.5,4.7,4.3,4.4,4.5,4.2,4.5,4.9,4.1,5,4.3,5.2,5,5.3,4.9,4.9,5.1,4.7,4.6,4.8,5.6,5.6,5,4.7,4.9
   Juice ,115.7,132.4,119.1,111.9,119.1,124.3,116.6,133.2,117.7,121.9,122.7,126.9,112.3,117.5,107.6,118.5,106.3,121.5,120.2,115.7,125,120.7,129.2,123.8,125.2,122.1,117,119.1,120.1,112.7,109.7,106.7,99.1,100.1,97,95.4,85,87.5,84.1,85.3,84.7,81,79.9
